id,partes_cuerpo,daño_enfermedad,causante,gravedad,estado,recogido,observa,peso
2,indeterminado,indeterminado,indeterminado,indeterminado,indeterminado,indeterminado,3 años en cautividad en agua dulce,
3,aleta,falta,indeterminado,alta,indeterminado,indeterminado,"Aleta delantera derecha faltante, peso 20 kg.",
4,cuello,corte,enmallamiento,alta,moribunda,indeterminado,"flaca, débil",
5,aleta,necrosis,indeterminado,alta,indeterminado,Jaime,"necrosis en aleta delantera derecha, fecha 15/10",
6,aleta,corte,enmallamiento,media,indeterminado,indeterminado,cortes en aletas delantera y trasera derechas,
8,indeterminado,putrefacción,indeterminado,fatal,muerto,indeterminado,sin marcas aparentes,
9,esófago,hemorragia,anzuelo,alta,muerto,indeterminado,"Operado para extraer anzuelo, fallece en una hora",
10,indeterminado,putrefacción,indeterminado,fatal,muerto,indeterminado,Animal descompuesto,
12,indeterminado,parasitacion,percebes,baja,indeterminado,indeterminado,recogida en alta mar,
13,cuerpo entero,"delgadez, debilidad, musgo",indeterminado,media,débil,indeterminado,"Muy flaca, débil, llena de musgo",
14,ojo,problema,indeterminado,indeterminado,indeterminado,pescador,,
15,caparazón,contaminación,musgo,baja,indeterminado,indeterminado,"Flotando a la deriva, recogida a 2 millas",
16,aleta,necrosis,indeterminado,alta,indeterminado,indeterminado,Aleta amputada debido a necrosis,
17,aleta,necrosis,soga,alta,indeterminado,indeterminado,Amputación realizada el 3/08,
18,indeterminado,indeterminado,indeterminado,indeterminado,indeterminado,APN,,
19,cuerpo entero,contaminación,petróleo,alta,indeterminado,indeterminado,Totalmente llena de crudo,
20,cuello,herida,enmallamiento,media,indeterminado,indeterminado,,
21,ojo,herida,indeterminado,baja,indeterminado,indeterminado,herida activa,
22,aleta,necrosis,enmallada,alta,indeterminado,indeterminado,flotando a la deriva,
23,aleta,putrefacción,indeterminado,alta,indeterminado,indeterminado,Aleta trasera derecha putrefacta,
24,indeterminado,indeterminado,"anzuelo, plásticos",indeterminado,indeterminado,indeterminado,Arrastraba gran cantidad de plásticos de invernadero,
25,indeterminado,indeterminado,indeterminado,indeterminado,débil,indeterminado,Flaca y débil,"7,8 kg"
26,indeterminado,"delgadez, debilidad",indeterminado,media,débil,indeterminado,Muy flaca y débil,
27,indeterminado,indeterminado,indeterminado,indeterminado,indeterminado,indeterminado,Enmallada junto a la 8851,
28,caparazón,"rotura, pérdida de tejido, parasitación",indeterminado,media,indeterminado,indeterminado,Presencia de musgo y percebes,
29,aletas,cortes,red,media,indeterminado,indeterminado,enmalladas en la misma red (8754 y 8755),
30,aletas,corte,nylon,media,débil,indeterminado,,
31,indeterminado,putrefacción,indeterminado,fatal,muerto,indeterminado,,
32,indeterminado,putrefacción,indeterminado,fatal,muerto,indeterminado,Animal descompuesto,
33,indeterminado,putrefacción,indeterminado,fatal,muerto,indeterminado,Animal descompuesto,
35,aleta,necrosis,indeterminado,alta,indeterminado,indeterminado,Aleta delantera derecha necrosada,
36,cuello,corte,indeterminado,baja,indeterminado,indeterminado,"Pequeño corte, nada grave, estado bien",
37,aleta,herida,indeterminado,indeterminado,indeterminado,indeterminado,,
38,boca,contaminación,nylon,media,indeterminado,indeterminado,,
39,indeterminado,enmallamiento,indeterminado,alta,muerto,Jaime Urióste,Muere con excrementos mucosos y verdes abundantes,
40,aleta,corte,indeterminado,media,indeterminado,Jaime Urióste,"Aleta delantera izquierda con cortes, entregada el 10 Octubre 09",
41,aleta,corte,rafia,media,indeterminado,indeterminado,,
42,aleta,necrosis,rafia,alta,indeterminado,indeterminado,Aleta delantera izquierda necrosada.,
43,aleta,"herida, amputada",indeterminado,alta,indeterminado,indeterminado,Herida y amputación en la aleta delantera,
44,aleta,"necrosis, amputada",indeterminado,alta,indeterminado,indeterminado,Amputada el 15 Septiembre 2009,
