id,municipio,lugar,corrdenadas_utm
1,Los Realejos,Rambla de Castro,"340800, 3149000"
3,Candelaria,indeterminado,"363000, 3134000"
4,Adeje,Puerto Colón,"326900, 3106500"
5,Arico,El Porís,"359500, 3119000"
6,Santa Cruz de Tenerife,Las Teresitas,"372900, 3149000"
7,Arico,El Porís,"359800, 3118000"
8,Arico,Tajao,"350500, 3109000"
9,Tacoronte,El Pris,"355000, 3149000"
10,Adeje,El Puertito,"323900, 3104200"
11,Buenavista del Norte,Teno,"322000, 3149000"
12,Adeje,Puerto Colón,"325900, 3106500"
13,Arona,Barranco Seco,"340500, 3109000"
14,Santa Cruz de Tenerife,indeterminado,"372109, 3146261"
15,Adeje,Playa Fañabe,"329277, 3108031"
16,Granadilla de Abona,Los Abrigos,"338800, 3089000"
17,Garachico,Muelle Garachico,"335800, 3149000"
18,Arona,Los Cristianos,"340900, 3102100"
19,Adeje,Puerto Colón,"326900, 3107000"
20,Guía de Isora,Abama,"318500, 3107000"
21,Adeje,Puerto Colón,"325900, 3106500"
22,Santiago del Teide,Puerto Santiago,"313900, 3109500"
23,Adeje,Puerto Colón,"325900, 3106500"
24,Fasnia,Los Roques,"359500, 3118500"
25,Granadilla de Abona,Pelada,"338800, 3101000"
26,Güímar,Puerto de Güímar,"359900, 3131300"
27,Arico,El Porís,"359000, 3118000"
28,Adeje,Puerto Colón,"326900, 3106500"
29,Puerto de la Cruz,Muelle,"340500, 3148500"
30,Arona,Los Cristianos,"340800, 3102000"
31,Buenavista del Norte,Punta de Teno,"312500, 3149000"
32,Puerto de la Cruz,Muelle,"340000, 3149000"
33,Granadilla de Abona,El Cabezo (El Médano),"349800, 3100600"
34,Santa Cruz de Tenerife,Puertos de Santa Cruz Tenerife,"372109, 3146261"
35,Güímar,Playa La Viuda,"363200, 3129000"
36,indeterminado,Muelle,indeterminado
37,Adeje,Puerto Colón,"323900, 3106700"
38,Adeje,Puerto Colón,"325900, 3106700"
39,Güímar,Puertito de Güímar,"359800, 3129000"
40,Arona,Los Cristianos,"340200, 3103600"
41,Arico,El Porís de Abona,"359800, 3119500"
42,La Laguna,La Punta,"363000, 3152000"
43,Arona,Los Cristianos,"340700, 3102200"
44,Santa Cruz de Tenerife,Puertos de Santa Cruz de Tenerife,"372109, 3146261"
45,Adeje,Puerto Colón,"326900, 3106500"
46,Garachico,Muelle de Garachico,"340000, 3149000"
47,Güímar,Puertito de Güímar,"363000, 3129000"
48,Granadilla de Abona,El Médano,"349000, 3102000"
49,Santiago del Teide,Los Gigantes,"313800, 3129000"
50,Adeje,Puerto Colón,"325800, 3106500"
51,Arico,El Porís,"359000, 3119000"
52,Arico,Playa La Punta (El Porís),"359200, 3117000"
53,Arona,Los Cristianos,"340500, 3103500"
54,Arico,Playa de la Punta (El Porís),"359800, 3119500"
55,Arico,Playa de la Punta (El Porís),"359800, 3119500"
56,Santa Cruz de Tenerife,Almáciga,"377800, 3160700"
57,Santiago del Teide,Los Gigantes,"313800, 3129000"
58,El Rosario,Radazul,"366000, 3139000"
59,Arico,Playa La Punta El Porís,"359000, 3118000"
60,Arico,Chovito,"362000, 3118000"
61,Adeje,Puerto Colón,"326900, 3107000"
62,Adeje,Puerto Colón,"325900, 3106700"
63,Puerto de la Cruz,indeterminado,"340000, 3149000"
64,El Rosario,Radazul,"366000, 3138000"
65,Arona,Los Cristianos,"340900, 3102100"
66,Adeje,Fañabé,"329277, 3108031"
67,Arico,El Porís,"359000, 3118000"
68,San Cristóbal de La Laguna,Camino La Costa (La Punta),"363000, 3153000"
69,Adeje,Playa Fañabé,"329277, 3108031"
70,Santiago del Teide,Los Gigantes,"322800, 3129600"
71,Arona,Los Cristianos,"340800, 3101600"
72,Adeje,Los Balitos,"320800, 3104000"
73,Adeje,Puerto Colón,"325900, 3106500"
74,Adeje,Puerto Colón,"325900, 3106500"
75,Granadilla de Abona,El Médano,"349500, 3102000"
76,Arona,Muelle Los Cristianos,"340800, 3100400"
77,Adeje,Puerto Colón,"326900, 3106700"
78,Adeje,Fañabé,"329277, 3108031"
79,Santiago del Teide,Los Gigantes,"322800, 3129000"
80,Granadilla de Abona,Playa El Cabezo,"349800, 3112200"
81,San Cristóbal de La Laguna,Punta Hidalgo,"360000, 3157000"
82,Arico,El Porís (Muelle),"359400, 3119300"
83,San Cristóbal de La Laguna,Playa de Tamadiste - Afur,"368900, 3159000"
84,Granadilla de Abona,Los Abrigos,"338500, 3089500"
85,Santiago del Teide,Los Gigantes,"313800, 3109000"
86,Candelaria,Malpaís,"368000, 3134000"
87,Santa Cruz de Tenerife,Las Teresitas,"377000, 3149000"
88,Arona,Las Americas,"329900, 3104000"
89,indeterminado,Polígono Industrial,indeterminado
90,Adeje,Playa Fañabe,"329277, 3108031"
91,Arico,Las Maretas,"359000, 3108000"
92,Santa Cruz de Tenerife,Benijo,"377800, 3160700"
93,Arona,Las Galletas,"347000, 3089000"
94,Arico,El Porís,"359000, 3117000"
95,indeterminado,Costa,indeterminado
96,Arico,Punta de Abona,"347500, 3109000"
97,Arona,Los Cristianos,"340900, 3102100"
98,Arico,Mal Pais,"355000, 3109000"
99,Santa Cruz de Tenerife,Tachero-Taganana,"377000, 3152000"
100,Arico,Abades,"350000, 3118000"
